epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4290.19,0.20824,0.24788,0.88831,0.99663,1,0.995,0.98943,0.11691,0.25103,0.82833,0.000346736,0.000346736,0.000346736
82,4342.25,0.20562,0.23341,0.88951,0.997,1,0.995,0.995,0.11126,0.22513,0.82119,0.000330233,0.000330233,0.000330233
83,4392.54,0.20302,0.24986,0.87373,0.99716,1,0.995,0.995,0.10774,0.1992,0.81966,0.000313729,0.000313729,0.000313729
84,4440.31,0.20328,0.23565,0.87993,0.99734,1,0.995,0.995,0.1085,0.19649,0.82029,0.000297226,0.000297226,0.000297226
85,4487.49,0.19561,0.22974,0.90272,0.99728,1,0.995,0.995,0.10957,0.19294,0.82053,0.000280723,0.000280723,0.000280723
86,4534.46,0.19081,0.22469,0.8916,0.99716,1,0.995,0.995,0.09803,0.18803,0.81677,0.00026422,0.00026422,0.00026422
87,4582.3,0.20575,0.24044,0.8888,0.99718,1,0.995,0.995,0.09679,0.1861,0.81578,0.000247716,0.000247716,0.000247716
88,4631.1,0.18898,0.24373,0.89706,0.99717,1,0.995,0.995,0.09489,0.19611,0.8151,0.000231213,0.000231213,0.000231213
89,4685.25,0.22312,0.24766,0.87967,0.9972,1,0.995,0.995,0.09602,0.19596,0.81456,0.00021471,0.00021471,0.00021471
90,4733.82,0.19857,0.23031,0.89406,0.99732,1,0.995,0.995,0.10668,0.19057,0.81756,0.000198206,0.000198206,0.000198206
91,4782.06,0.11287,0.22188,0.79207,0.99734,1,0.995,0.995,0.08915,0.18103,0.81411,0.000181703,0.000181703,0.000181703
92,4828.93,0.11276,0.20269,0.78595,0.99736,1,0.995,0.995,0.10193,0.20521,0.81625,0.0001652,0.0001652,0.0001652
93,4876.5,0.10446,0.21056,0.78,0.99746,1,0.995,0.995,0.09089,0.21158,0.81605,0.000148696,0.000148696,0.000148696
94,4921.85,0.10508,0.2057,0.80191,0.99748,1,0.995,0.995,0.0823,0.20656,0.81263,0.000132193,0.000132193,0.000132193
95,4969.4,0.10035,0.20317,0.7859,0.99713,1,0.995,0.995,0.08341,0.19766,0.81209,0.00011569,0.00011569,0.00011569
96,5017.16,0.104,0.20527,0.79935,0.99745,1,0.995,0.995,0.08376,0.18443,0.81477,9.91865e-05,9.91865e-05,9.91865e-05
97,5066.11,0.09718,0.19694,0.79767,0.99736,1,0.995,0.995,0.08268,0.18101,0.8156,8.26832e-05,8.26832e-05,8.26832e-05
98,5111.83,0.09653,0.18373,0.78238,0.99739,1,0.995,0.995,0.07989,0.1821,0.81522,6.61799e-05,6.61799e-05,6.61799e-05
99,5155.38,0.08789,0.18016,0.78232,0.99734,1,0.995,0.995,0.07572,0.17925,0.81475,4.96766e-05,4.96766e-05,4.96766e-05
100,5199.66,0.08423,0.18178,0.79031,0.99737,1,0.995,0.995,0.07302,0.17679,0.81394,3.31733e-05,3.31733e-05,3.31733e-05
